anime_id,genre_id
156,1
156,35
156,42
156,43
156,26
157,27
157,34
157,43
157,31
157,35
157,42
157,10
157,8
157,19
157,38
158,36
158,1
158,42
158,26
158,12
159,23
159,43
159,14
159,41
159,28
159,2
159,8
159,40
159,38
160,23
160,1
160,43
160,16
160,2
161,17
161,27
161,33
161,20
161,8
162,27
162,42
162,43
162,10
162,8
163,23
163,27
163,43
163,33
163,8
164,17
164,23
164,43
165,17
165,1
165,41
165,32
165,7
165,28
165,42
165,2
166,33
166,41
166,20
166,2
167,2
167,23
167,27
167,1
167,43
167,41
167,8
168,17
168,2
168,23
168,19
168,1
169,17
169,14
169,7
169,42
169,19
169,38
169,9
170,27
170,1
170,10
170,8
170,25
171,23
171,1
171,43
173,7
173,27
173,33
173,3
173,38
173,1
173,8
174,17
174,34
174,22
174,27
174,19
174,10
174,8
175,17
175,23
175,42
175,2
175,8
175,19
176,23
176,42
177,17
177,23
177,43
177,35
177,42
177,38
177,8
178,27
178,35
178,42
178,10
178,26
179,27
179,35
179,42
179,10
180,17
180,34
180,41
180,2
180,8
180,40
181,17
181,34
181,41
181,2
181,8
181,40
182,23
182,28
182,42
182,43
182,41
183,10
183,8
183,25
184,17
184,41
184,2
184,8
184,40
185,17
185,39
185,1
185,24
185,25
186,17
186,39
186,1
186,24
186,25
187,17
187,39
187,25
187,1
187,42
187,24
188,27
188,29
188,7
188,38
189,27
189,34
189,31
189,42
189,8
189,36
190,27
190,1
190,34
190,42
190,8
191,36
191,27
191,42
192,23
192,27
192,42
193,27
193,1
193,34
193,31
193,35
193,42
193,10
194,23
194,41
194,16
194,2
194,8
195,2
195,27
195,1
195,42
195,10
196,27
196,1
196,31
196,10
196,2
197,2
197,27
197,42
197,34
197,10
198,17
198,7
198,19
199,23
199,38
199,1
200,27
200,35
200,42
200,8
201,27
201,1
201,34
201,42
202,17
202,23
202,1
202,43
202,7
202,2
203,23
203,29
203,3
203,35
203,43
204,17
204,27
204,34
204,31
204,19
205,17
205,23
205,27
205,33
205,20
205,8
206,17
206,23
206,1
206,35
206,42
206,43
207,17
207,23
207,43
207,35
207,8
207,38
208,17
208,2
208,23
208,7
208,33
208,35
209,17
209,2
209,23
209,27
209,19
209,1
210,36
210,27
210,22
210,43
210,8
211,29
212,17
212,23
212,27
212,41
212,2
212,19
213,27
213,42
213,29
214,27
214,42
214,29
215,27
215,42
216,27
216,42
217,27
217,1
217,29
217,42
218,17
218,27
218,41
218,16
218,21
218,42
218,2
218,8
218,40
219,17
219,27
219,1
219,41
219,28
219,2
219,8
219,40
220,29
220,14
221,17
221,2
221,29
221,27
222,17
222,23
222,27
222,7
222,2
223,23
223,27
223,43
223,22
223,8
223,19
225,17
225,2
225,23
225,27
225,19
225,35
225,43
